code,group,region
01,Южные регионы|Сельские регионы,Адыгея
02,Промышленные центры|Поволжье|Горнодобывающие,Башкортостан
03,Дальний Восток|Горнодобывающие,Бурятия
04,Дальний Восток,Алтай
05,Южные регионы|Сельские регионы|Северный Кавказ,Дагестан
06,Южные регионы|Сельские регионы|Северный Кавказ,Ингушетия
07,Южные регионы|Сельские регионы|Северный Кавказ,Кабардино-Балкария
08,Южные регионы|Сельские регионы,Калмыкия
09,Южные регионы|Сельские регионы|Северный Кавказ,Карачаево-Черкесия
10,Промышленные центры|Северо-Запад|Горнодобывающие,Карелия
11,Промышленные центры|Северо-Запад|Горнодобывающие,Коми
12,Промышленные центры|Поволжье,Марий Эл
13,Промышленные центры|Поволжье,Мордовия
14,Дальний Восток|Горнодобывающие,Саха (Якутия)
15,Южные регионы|Сельские регионы|Северный Кавказ,Северная Осетия — Алания
16,Промышленные центры|Поволжье|Горнодобывающие,Татарстан
17,Дальний Восток|Горнодобывающие,Тыва
18,Промышленные центры|Поволжье,Удмуртия
19,Дальний Восток|Горнодобывающие,Хакасия
20,Южные регионы|Сельские регионы|Северный Кавказ,Чеченская Республика
21,Промышленные центры|Поволжье,Чувашия
22,Промышленные центры|Сельские регионы|Сибирь|Горнодобывающие,Алтайский край
23,Южные регионы|Сельские регионы|Юг России,Краснодарский край
24,Промышленные центры|Сибирь|Горнодобывающие,Красноярский край
25,Дальний Восток|Горнодобывающие,Приморский край
26,Южные регионы|Сельские регионы|Северный Кавказ,Ставропольский край
27,Дальний Восток|Горнодобывающие,Хабаровский край
28,Дальний Восток|Горнодобывающие,Амурская область
29,Промышленные центры|Северо-Запад|Горнодобывающие,Архангельская область
30,Южные регионы|Сельские регионы|Юг России|Горнодобывающие,Астраханская область
31,Центральная Россия|Промышленные центры|Горнодобывающие,Белгородская область
32,Центральная Россия|Промышленные центры,Брянская область
33,Центральная Россия|Промышленные центры,Владимирская область
34,Южные регионы|Сельские регионы|Юг России,Волгоградская область
35,Промышленные центры|Северо-Запад|Горнодобывающие,Вологодская область
36,Центральная Россия|Промышленные центры|Горнодобывающие,Воронежская область
37,Центральная Россия|Промышленные центры,Ивановская область
38,Промышленные центры|Сибирь|Горнодобывающие,Иркутская область
39,Промышленные центры|Северо-Запад|Горнодобывающие,Калининградская область
40,Центральная Россия|Промышленные центры,Калужская область
41,Дальний Восток|Горнодобывающие,Камчатский край
42,Промышленные центры|Сибирь|Горнодобывающие,Кемеровская область
43,Промышленные центры|Поволжье,Кировская область
44,Центральная Россия|Промышленные центры,Костромская область
45,Промышленные центры|Урал|Горнодобывающие,Курганская область
46,Центральная Россия|Промышленные центры|Горнодобывающие,Курская область
47,Промышленные центры|Северо-Запад,Ленинградская область
48,Центральная Россия|Промышленные центры|Горнодобывающие,Липецкая область
49,Дальний Восток|Горнодобывающие,Магаданская область
50,Центральная Россия|Промышленные центры,Московская область
51,Промышленные центры|Северо-Запад|Горнодобывающие,Мурманская область
52,Промышленные центры|Поволжье,Нижегородская область
53,Промышленные центры|Северо-Запад,Новгородская область
54,Промышленные центры|Сибирь,Новосибирская область
55,Промышленные центры|Сибирь,Омская область
56,Промышленные центры|Поволжье|Горнодобывающие,Оренбургская область
57,Центральная Россия|Промышленные центры,Орловская область
58,Промышленные центры|Поволжье,Пензенская область
59,Промышленные центры|Поволжье|Горнодобывающие,Пермский край
60,Промышленные центры|Северо-Запад,Псковская область
61,Южные регионы|Сельские регионы|Юг России,Ростовская область
62,Центральная Россия|Промышленные центры,Рязанская область
63,Промышленные центры|Поволжье|Горнодобывающие,Самарская область
64,Промышленные центры|Поволжье|Горнодобывающие,Саратовская область
65,Дальний Восток|Горнодобывающие,Сахалинская область
66,Промышленные центры|Урал|Горнодобывающие,Свердловская область
67,Центральная Россия|Промышленные центры,Смоленская область
68,Центральная Россия|Промышленные центры,Тамбовская область
69,Центральная Россия|Промышленные центры,Тверская область
70,Промышленные центры|Сибирь|Горнодобывающие,Томская область
71,Центральная Россия|Промышленные центры,Тульская область
72,Промышленные центры|Урал|Горнодобывающие,Тюменская область
73,Промышленные центры|Поволжье,Ульяновская область
74,Промышленные центры|Урал|Горнодобывающие,Челябинская область
75,Дальний Восток|Горнодобывающие,Забайкальский край
76,Центральная Россия|Промышленные центры,Ярославская область
77,Столицы|Центральная Россия,Москва
78,Столицы|Северо-Запад,Санкт-Петербург
79,Дальний Восток|Горнодобывающие,Еврейская автономная область
83,Промышленные центры|Северо-Запад|Горнодобывающие,Ненецкий автономный округ
86,Промышленные центры|Урал|Горнодобывающие,Ханты-Мансийский автономный округ — Югра
87,Дальний Восток|Горнодобывающие,Чукотский автономный округ
89,Промышленные центры|Урал|Горнодобывающие,Ямало-Ненецкий автономный округ
90,Южные регионы|Сельские регионы|Горнодобывающие,Запорожская область
91,Южные регионы|Сельские регионы,Крым
92,Южные регионы|Сельские регионы,Севастополь
93,Южные регионы|Сельские регионы|Горнодобывающие,Донецкая Народная Республика
94,Южные регионы|Сельские регионы|Горнодобывающие,Луганская Народная Республика
95,Южные регионы|Сельские регионы,Херсонская область
